year,co,nox,pm25,so2,voc,nh3
1970,204042,26882,,31218,34659,
1975,188398,26378,,28044,30765,
1980,185408,27080,,25926,31107,
1985,176845,25757,,23307,27403,
1990,154188,25527,7560,23077,24108,4320
1991,147128,25180,7320,22375,23577,4384
1992,140895,25261,7198,22082,23066,4443
1993,135902,25356,7149,21773,22730,4518
1994,133558,25350,7542,21346,22570,4589
1995,126778,24955,6929,18619,22042,4659
1996,128858,24787,6724,18385,20871,4727
1997,117910,24705,6256,18840,19530,4817
1998,115380,24348,6261,18944,18781,4940
1999,114541,22845,7211,17545,18270,4857
2000,114467,22598,7288,16347,17512,4907
2001,106262,21549,6996,15932,17111,3689
2002,102033,23959,5805,15032,20289,3994
2003,99593,22651,5888,14808,19911,4005
2004,97147,21331,5970,14571,19514,4016
2005,88546,20355,5592,14546,17753,3932
2006,85837,19227,5736,13123,17902,4077
2007,83128,18099,5881,11699,18050,4222
2008,79655,16909,6014,10324,17759,4359
2009,72753,15772,5988,9089,17593,4315
2010,73771,14846,5964,7732,17835,4271
2011,73762,14519,6100,6479,18154,4032
2012,71758,13879,5940,5079,17872,3823
2013,69755,13239,5780,4873,17590,3813
2014,65537,12589,5381,4674,16883,3571
2015,63516,11682,5229,3945,16330,3764
2016,58904,10304,5060,3204,15459,3955
2017,66605,9838,5681,2539,17185,4297
2018,65493,9350,5667,2437,16994,4294
2019,64382,8787,5653,2142,16803,4291
2020,63271,8228,5640,1962,16613,4289